ABAD| abad. m y f. El que dirige una abadía o monasterio.
ACUARIO| acuario. m. Depósito con agua donde viven plantas y animales. Edificio donde se muestran animales acuáticos vivos.
ACUCIAR| acuciar. tr. Estimular.  Desear con vehemencia.
ACUDIR| acudir. tr. Ir a un sitio. Ir en socorro.
ACUERDO| acuerdo. m. Resolución que se toma en tribunales o juntas, o entre personas. Parecer, dictamen, consejo.
ACUÑAR| acuñar. tr. Imprimir y sellar una pieza de metal: medalla o moneda. acuoso  acuoso, sa. adj. Abundante en agua. Parecido a ella. De agua.
ACUSAR| acusar. tr. Imputar un delito.  Denunciar, delatar. Avisar o  notificar un envío.
ACUSE| acuse. m. Acción de acusar.  Aviso de  recibo de una carta.
ADAGIO| adagio. m. Proverbio.  Mús. Movimiento lento.
ADALID| adalid. m. Caudillo de gente de guerra. Individuo que resalta dentro de una agrupación.
ADÁN| Adán. m. Primer hombre, según la Biblia.
ADARGA| adarga. f. Escudo de cuero ovalado o de figura de corazón.
ADECUAR| adecuar. tr. Acomodar, apropiar una cosa a otra.
ADEMÁN| ademán. m. Movimiento o actitud de! cuerpo.
ADEMÁS| además. adv.  A más de esto o aquello.
ADENTRO| adentro. adv. En el interior. adepto  adepto, ta. adj. Partidario de una persona, causa o idea.
ADEREZO| aderezo. m. Lo que adereza. Condimento.
ADEUDAR| adeudar. tr. Deber, tener deudas.
AD HOC| ad hoc. adv. Locución latina que se aplica a lo que se dice o hace sólo con un fin determinado.
ADICIÓN| adición. f. Acción de añadir, agregar.  Operación de sumar. adicto  adicto, ta. adj. Dedicado. Muy inclinado.
ADJURAR| adjurar. tr. Rogar encarecidamente una cosa.
ADMIRAR| admirar. tr. Causar sorpresa la vista de algo inesperado o extraordinario. Tener mucha estimación por alguien o algo.
ADMITIR| admitir. tr. Recibir o dar entrada.  Aceptar. Permitir
ADOBAR| adobar. tr. Componer, aderezar.  Echar adobo a las carnes.
ADOBE| adobe. m. Masa de barro mezclada a veces con paja y moldeada en  forma de ladrillo para hacer paredes.
ADOBO| adobo. m. Salsa con que se sazona una comida. adocenado  adocenado, da. adj. Vulgar, sin mérito.
ADONDE| adonde. adv. A qué parte, a la parte que.  Donde.
ADOPTAR| adoptar. tr. Recibir como hijo. Recibir o admitir una opinión, aprobándola y siguiéndola. adoptivo  adoptivo, va. adj. Dícese de la persona adoptada.
ADOQUÍN| adoquín. m. Piedra para empedrar.  fig. y fam. Persona torpe.
ADORAR| adorar. tr. Honrar a Dios.  Reverenciar con mucho honor a un ser considerándolo divino. Amar muchísimo.
ADORNAR| adornar. tr. Embellecer, engalanar, con adornos.  Enaltecer.
ADORNO| adorno. m. Lo que se pone para embellecer.
ADOSAR| adosar. tr. Poner una cosa por su espalda o envés pegada a otra.
ADREDE| adrede. adv. De propósito. Con deliberada intención.
ADUANA| aduana. f. Oficina pública situada en costas y fronteras para registrar las mercaderías y cobrar impuestos.
ADUCIR| aducir. tr. Presentar pruebas, razones.
ADULAR| adular. tr. Decir lo que se cree puede gustar a otro. Deleitar. adulón  adulón, na. adj. El que adula servilmente. adulterar  adulterar intr. Cometer adulterio. Falsificar.
AEDO| aedo. m. Poeta de la antigua Grecia.
AEROSOL| aerosol. m. Suspensión de una sustancia en un medio gaseoso.
AFABLE| afable. adj. Agradable.  Dulce. Amable. afamado  afamado, da. adj. Famoso.
AFÁN| afán. m. Trabajo excesivo. Deseo vehemente. Trabajo corporal de los obreros.
AFASIA| afasia. f. Pérdida del habla a consecuencia de desorden cerebral. afear  afear tr. Poner fea a una persona o cosa.  Tachar.
AFECTAR| afectar. tr. Perder sencillez. Fingir.  Perjudicar.  Imponer gravamen sobre algo.  Hacer impresión una cosa en una persona
