ABAD| abad. m y f. El que dirige una abadía o monasterio.
LAGO| lago. m. Gran extensión de agua rodeada por tierra.
LÁGRIMA| lágrima. f. Gota que segrega la glándula lacrimal del ojo por un dolor físico o moral, irritación. pl. Dolores, adversidades.
LAGUNA| laguna. f. Depósito de agua por lo general dulce, de menores dimensiones que un lago.  Pérdida momentánea de la memoria. laico  laico, ca. adj. Que prescinde de la religión Lego, que no tiene órdenes clericales.
LAJA| laja. f. Trozo de piedra plana.
LAMBER| lamber. tr. amer. Lamer.
LAMER| lamer. tr. Pasar la lengua sobre una cosa repetidas veces.
LÁMINA| lámina. f. Figura, dibujo estampado o impreso. Plancha delgada.
LÁMPARA| lámpara. f. Utensilio para alumbrar. Bombilla, bombita de luz.  fig. Mancha de grasa o aceite en la ropa. lampiño  lampiño, ña. adj. Se dice del hombre que no tiene barba.  Que tiene poco vello.
LAMPO| lampo. m. Resplandor fugaz, como el del relámpago.
LANA| lana. f. Pelo de la oveja, carnero y otros animales que se hila y se usa para hacer paños y otros tejidos. Tejido de lana.  m. Guat. y Hond. Persona de baja condición social.
LANAR| lanar. adj. Se dice del ganado que tiene lana; como la oveja.
LANCEAR| lancear. tr. Herir con lanza.
LANCE| lance. m. Acción y efecto de lanzar, de arrojar.  Acción de echar la red o el anzuelo para pescar. Trance, momento difícil. Riña, disputa, pelea.
LANCERO| lancero. m. Soldado que peleaba con lanza.
LANCHA| lancha. f. Bote de velas, o remos, o motor.
LAPACHO| lapacho. m. Árbol de América del Sur, de las bignonáceas, de gran altura. Su madera, fuerte e incorruptible, se emplea en construcciones y ebanistería. Tiene hermosas flores rosadas.  Madera de ese árbol.
LÁPIDA| lápida. f. Piedra lisa donde se pone una inscripción.
LAPIDAR| lapidar. tr. Apedrear.  Matar arrojando piedras.
LÁPIZ| lápiz. m. Sustancia que sirve para dibujar o escribir. Por lo común es una barrita de grafito encerrada en un cilindro o prisma de madera.  de color. Pasta que se hace con diversos colores y sirve para pintar o colorear. Arg. Pinturita.
LAPSO| lapso. m. Curso de un espacio de tiempo. lapsus linguae. Exp. lat. que significa error, tropiezo con la lengua, es decir, al hablar.
LAQUEAR| laquear. tr. Cubrir una superficie con laca.
LARGAR| largar. tr. Soltar, dejar libre.  Desplegar las velas de una embarcación.  prnl. Irse con rapidez o disimulo. largo  largo, ga. adj. De cierta longitud.  Que se extiende mucho  De mucho contenido Que dura cierto tiempo  pl. Muchos  Uno de los movimientos fundamentales de la música que equivale a lento.  m. Longitud, largor.
LARINGE| laringe. f. Órgano cartilaginoso en forma de tubo situado a la altura del cuello. En los mamíferos es el órgano de la voz.
LARVA| larva. f. Primer estado de ciertos animales, como los insectos, crustáceos, equinodermos, batracios, que después de salir del huevo pueden vivir al aire libre. Su forma es muy diferente de la que adquiere el animal adulto después de sufrir diversas transformaciones o metamorfosis.
LASÍTUD| lasítud. f. Desfallecimiento.
LÁSTIMA| lástima. f. Compasión por los males de otro.  Lo que provoca un disgusto.
LASTRE| lastre. m. Piedra, peso grande que se pone para equilibrar la nave. Cosa pesada, molesta.
LATA| lata. f. Hojalata.  Envase de hojalata con su contenido o sin él.  fam. Charla, conversación larga y fastidiosa
LATENTE| latente. adj. Oculto, escondido.
LATERAL| lateral. adj. Situado a un lado  fig. Lo que no viene por línea recta,  Latoso.
LÁTEX| látex. m. Jugo que se extrae de algunos vegetales, como el caucho, la higuera, el árbol de la leche, etc. Se utiliza en la fabricación del caucho.  artificial, preparado químico que se usa en pinturas, para los edificios. latido  latido, da. p. p. de latir. Movimiento del corazón que hace circular la sangre por venas y arterias.
LÁTIGO| látigo. m. Azote largo, delgado, de cuero o soga, con cabo de madera, usado para castigar.
LATÍN| latín. rn. Lengua de los antiguos romanos, usada hoy por la Iglesia Católica. latinoamericano  latinoamericano, na. adj. Perteneciente o relativo a los países de América que fueron colonizados por naciones latinas, esto es, España, Portugal o Francia. latino  latino, na. adj. Natural del Lacio, en Italia, o de la antigua Roma.  Suele decirse de los pueblos de Europa donde se hablan lenguas derivadas del latín. Países americanos cuyas colonizaciones fueron realizadas por países en que se hablaban lenguas derivadas del latín.
LATIR| latir. tr. Dar latidos el corazón.
LATITUD| latitud. f. Distancia que hay desde un punto de la superficie terrestre hasta el Ecuador.  Anchura, la menor dimensión de las dos que tienen las figuras o cosas planas en contraposición a la longitud. lato  lato, ta. adj. Dilatado, extendido.  Aplícase al sentido que se da a las palabras y que no es el que les corresponde rigurosamente.
LATÓN| latón. m. Aleación de cobre y cinc, se utiliza para envases y utensilios. latoso  latoso, sa. adj. Fastidioso, molesto, pesado.
LAUCHA| laucha. f. Arg. y Chile. Ratón.
LAUDO| laudo. m. Decisión o fallo hecho amigablemente.  Arg. Porcentaje en más acordado en hoteles y restaurantes a dueños y mozos en relación con la estadía y consumo. laureado  laureado, da. p. p. de laurear.  adj. Que ha sido recompensado, premiado.
LAUREL| laurel. m. Árbol de Eurasia, de unos cinco metros, de tronco liso, hojas coriáceas, alargadas y muy aromáticas, que se usan como condimento y en farmacia. Corona, triunfo.
LAURO| lauro. m. Laurel, gloria, alabanza.
LAVABLE| lavable. adj. 0ue puede lavarse.
LAVABO| lavabo. m. Artefacto que se coloca en el baño para lavarse manos y cara.
LAVA| lava. f. Materias en fusión que salen de los volcanes durante las erupciones.
LAVAR| lavar. tr. Limpiar una cosa con agua y jabón. Purificar, quitar una falta o deshonra .
LAXANTE| laxante. m. Medicamento para evacuar.
LAXITUD| laxitud. f. Aflojamiento. i I Calidad de laxo. laxo  laxo, xa. adj. Flojo, que no tiene la tensión que debería poseer.  fig. 0ue tiene poca moral.
LAYA| laya. f. Calidad, especie, género.
LAZO| lazo. m. Atadura hecha con cintas usada como adorno.  Nudo corredizo para cazar e sujetar a los animales.  Ardid, acechanza  Unión, vínculo.
LEALTAD| lealtad. f. Fidelidad, sinceridad  Cumplimiento del deber con honor. Veracidad, legalidad.
LEBREL| lebrel. m. Perro adiestrado para cazar liebres.
LECCIÓN| lección. f. Enseñanza que se da a los alumnos de una vez. Lo que en cada clase señala el maestro al alumno para que lo aprenda.  Amonestación, ejemplo que enseña el modo de comportarse.
LECHE| leche. f. Líquido blanquecino que segregan las mamas de las hembras de los mamíferos y que constituye un gran alimento para sus crías.  Látex, sustancia que segregan algunas plantas.
LECHO| lecho. m. Cama con colchón, almohada y sábanas que se usa para descansar o dormir. Cama de paja para el ganado.  Cauce de un río, terreno donde corren sus aguas.  Fondo de un mar o lago.
LECHÓN| lechón. m. Cochinillo que aún mama.  Cerdo de cualquier edad.  fig. Hombre sucio.  fig. Arg. Hombre obeso.
LECHUGA| lechuga. f. Hortaliza que se cultiva en huertas y se consume cruda en ensalada. Hay distintas variedades.
LECHUZA| lechuza. f. Ave rapaz nocturna. Mide unos 35 cm de altura y unos 70 de envergadura. Su plumaje es suave, amarillento, y en algunas partes gris y negro. La cabeza es redonda, el pico corvo y los ojos grandes. Se alimenta de insectos y pequeños roedores.  Agorero. lectivo  lectivo, va. adj. Tiempo y días de dar lecciones. lector  lector, ra. m. y f. Persona que lee.
LECTURA| lectura. f. Acción de leer. Obra leída.  Arte de leer en voz alta.  Instrucción que resulta de haber leído.
LEER| leer. tr. Recorrer con la vista lo escrito comprendiendo su significado, pronunciando o no las palabras. Penetrar el interior de uno por los signos exteriores para comprender algo oculto.
LEGADO| legado. m. Diplomático encargado de una misión.  Eclesiástico a quien el Papa encarga una misión.  Lo que una persona deja a otra u otras en su testamento.
LEGAJO| legajo. m. Conjunto de papeles sobre un tema.
LEGAL| legal. adj. Conforme a la ley.
LÉGAMO| légamo. m. Cieno, lodo o barro pegajoso.
LEGAÑA| legaña. f. Líquido de la mucosa y glándulas de los párpados que se cuaja en el borde de éstos.
LEGAR| legar. tr. Dejar a una persona o institución bienes, derechos, etc. Enviar a uno como legado. legendario  legendario, a. adj. Perteneciente a las leyendas o relatos que tienen más de imaginación que de historia.
LEGIBLE| legible. adj. Que se puede leer.
LEGIÓN| legión. f. Nombre que se da a ciertos grupos de soldados . Número grande de personas o espíritus.
LEGUA| legua. f. Medida de longitud equivalente a unos cinco km y medio.
LEJANÍA| lejanía. f. Parte distante, apartada de un lugar.
LEJÍA| lejía. f. Agua en que se han disuelto álcalis o sus carbonatos.  Lavandina.
LEJOS| lejos. adv.  gran distancia lelo  lelo, la. adj. Simple, tonto.
LEMA| lema. m. Propósito que se toma como emblema de una acción.
LENGUA| lengua. f. Órgano situado en la boca de los vertebrados que sirve para gustar los alimentos, deglutirlos y articular palabras. Sistema de comunicación y expresión verbal de un pueblo.
LENIDAD| lenidad. f. Blandura para exigir y para castigar faltas.
LENTEJA| lenteja. f. Planta herbácea que se cultiva en huertas, por sus semillas, que tienen gran valor alimentario.  Semilla de estas plantas.
LENTE| lente. amb. Cristal con las caras cóncavas o convexas utilizados en anteojos y otros instrumentos de óptica. pl. Anteojos. lentificar  lentificar tr. Imprimir lentitud.
LEÑA| leña. f. Madera, fragmentos de los árboles que se usa para hacer fuego.  fig. Castigo, paliza
LEÑO| leño. m. Trozo de árbol que se ha cortado y sin ramas.  Parte del tronco debajo de la corteza.
LEO| Leo. n. p. m. León, signo del Zodíaco.
LEONERA| leonera. f. Lugar donde se tienen encerrados los leones.
LEÓN| león. m. Mamífero carnicero de los felinos. Es originario de África. Su pelaje es pardo amarillento y tiene cabeza grande. El macho lleva larga melena, que cubre la nuca y el cuello. Los dientes y las uñas son fuertes y la cola, larga, termina en un fleco de cerda. Por su potente rugido y la belleza de sus movimientos se lo llama "el rey de los animales".  marino. Mamífero pinnípedo de unos tres metros de largo que en lo alto de la cabeza tiene una especie de cresta carnosa. Habita en zonas frías.
LEPRA| lepra. f. Enfermedad infecciosa crónica y endémica en regiones ecuatoriales de Asia y África. Se caracteriza por síntomas en la piel y nerviosos, en forma de tubérculos, manchas, úlceras y zonas faltas de sensibilidad. lerdo  lerdo, da. adj. Pesado, torpe al andar. Persona torpe para comprender o para hacer algo.
LESIÓN| lesión. f. Daño, herida por un golpe, enfermedad o por un perjuicio moral. lesivo  lesivo, va. adj. Que causa lesiones o daños. leso  leso, sa. adj. Agraviado, lastimado, ofendido. Se aplica a la cosa que ha recibido la ofensa.
LETAL| letal. adj. Que causa la muerte.
LETANÍA| letanía. f. Rogativa, súplica que se hace a Dios invocando a la Santísima Trinidad.  Quejas o recomendaciones repetidas.
LETARGO| letargo. m. Estado de somnolencia prolongada causada por ciertas enfermedades.  Torpeza, modorra. letrado  letrado, da. adj. Docto, instruido. m. Abogado. letrero. m. Cartel.
LETRA| letra. f. Cada uno de los signos que se usan para escribir, que representan sonidos. Pieza de metal fundida que se usa en imprenta.  Sentido propio de las palabras de un texto en contraposición al sentido figurado.  Conjunto de palabras puestas en una música para que se cante. pl. Los diversos ramos del saber  Conjunto de ciencias humanísticas.
LETRINA| letrina. f. Lugar donde se expelen los excrementos.
LEUDAR| leudar. tr. Dar fermento a la masa con la levadura. Reclutamiento de gente, en particular de vagos y ociosos. levadizo  levadizo, za. adj. Que se levanta .
LEVANTE| levante. m. Oriente. Lugar donde sale el sol.  Viento que sopla del Este. Países que están en la parte oriental del mar Mediterráneo como Siria, Israel y Jordania. levantisco  levantisco, ca. adj. De genio inquieto, turbulento, rebelde.
LEVE| leve. adj. Ligero, que pesa poco. De poca importancia.
LEVITA| levita. f. Prenda de vestir masculina más larga y amplia que el frac.
LÉXICO| léxico. m. Vocabulario de una lengua o región. Caudal de voces o modismos de un autor.
LEYENDA| leyenda. f. Relato fabuloso.  Relación que tiene más sucesos imaginarios que históricos.  Letrero, inscripción.
LEY| ley. f. Regla invariable y constante de las cosas y de los fenómenos de la naturaleza.  Regla general y permanente dictada por el poder competente de un Estado.  Destino ineludible.  marcial, para restablecer el orden público, una vez declarado el estado de guerra.  natural, la que dicta la recta razón que prescribe lo que ha de hacerse u omitirse.
LEZNA| lezna. f. Especie de punzón, con ojo de aguja en la punta para coser cueros.
LIANA| liana. f. Nombre de diversas plantas trepadoras que ascienden por los árboles y cuelgan de ellos.
LIBAR| libar. tr. Beber suavemente el jugo de una cosa. Gustar, probar un licor.
LIBELO| libelo. m. Escrito en que se difama.
LIBERAL| liberal. adj. Generoso, desprendido.  Que profesa doctrinas favorables a la libertad política.
LIBERAR| liberar. tr. Librar, eximir a uno de una obligación.  Libertar. líbero  líbero, ra. adj. Que es libre.
LIBIDO| libido. f. Deseo sexual.
LIBRA| libra. f. Constelación zodiacal.  esterlina, moneda de oro inglesa.  Antiguas medidas de peso y de capacidad.
LIBRAR| librar. tr. Sacar de un mal o peligro. Poner confianza en una persona o cosa. Dar, expedir En el comercio, expedir letras de cambio, cheques y otras órdenes de pago.
LIBREA| librea. f. Traje que usaban los criados de las casas principales.
LIBRE| libre. adj. Que tiene la facultad de obrar o no. Que no es esclavo, ni está preso. Atrevido, desenfrenado  Suelto, no sujeto. Soltero. Exento de daño, inocente.
LIBRETA| libreta. f. Cuaderno pequeño para hacer anotaciones.
LIBRETO| libreto. m. Obra dramática escrita para poner música.  Programa de trabajo a que deben ajustarse en su tarea actores y locutores.
LIBRO| libro. m. Conjunto de muchas hojas de papel impresas, con tapas de cartón o cartulina, que forman un volumen.  Obra científica o literaria de cierta extensión. licenciado  licenciado, da. p. p. de licenciar. Persona que ha obtenido un grado en la facultad.  Que se da por libre.
LICEO| liceo. m. Instituto de enseñanza media.  Sociedad literaria.
LICITAR| licitar. m. Ofrecer precios y calidad de trabajo en competencia con otros aspirantes para realizarlo. lícito  lícito, ta. adj. Permitido, conforme a la ley.
LICOR| licor. m. Bebida con la que se preparan refrescos.  Bebida alcohólica que se obtiene por destilación y con el agregado de azúcar y esencias aromáticas.
LICUAR| licuar. tr. Hacer líquida una cosa sólida o gaseosa.  Fundir un metal para separarlo de otras materias con que se encuentra mezclado.
LÍDER| líder. m. Conductor, el que dirige un partido político u otra actividad.  El que encabeza una competición deportiva.
LIDIAR| lidiar. intr. Batallar, pelear. Hacer frente, trabajar.
LID| lid. í. Combate, pelea.  Disputa verbal.
LIEBRE| liebre. f. Mamífero roedor, muy veloz, de pelaje suave y espeso, cabeza pequeña, orejas largas, cuerpo estrecho, cola corta y patas más largas que las manos.  de la Patagonia, Arg. Mara.
LIENDRE| liendre. f. Huevo de piojo.
LIENZO| lienzo. m. Tela de lino, cáñamo o algodón.  Pañuelo. Fachada del edificio o pared.
LIGA| liga. f. Cinta elástica que asegura las medias.  Muérdago.  Substancia viscosa de muérdago y otras plantas.  Unión o mezcla.  Aleación. Confederación de Estados.  Agrupación de personas o colectividades con finalidad común.
LIGAR| ligar. tr. Atar.  Alear metales.  Unir o enlazar. Confederarse. unirse para algún fin.
LIJA| lija. f. Papel con polvos o arenillas de vidrio o esmeril.  Pez selacio, de cuerpo casi cilíndrico que llega a un metro de longitud y piel muy áspera con granillos córneos. Además de la carne, se utiliza la piel y el aceite, que se saca de su hígado.  Piel seca de este pez o de otro selacio utilizada para limpiar o pulir.
LILA| lila. f. Arbusto de jardín, de las oleáceas, de flores olorosas, moradas, originaria de Persia. Su flor. Color morado claro, como la flor de esta planta.
LIMA| lima. f. Fruto del limero, parecido al limón, pero dulce. Limero.  Herramienta de acero para desgastar metales y cuerpos duros. limar. tr. Alisar los metales, maderas, etc., con la lima.  Pulir una obra. limeño  limeño, ña. adj. y s. De Lima.
LIMITAR| limitar. tr. Poner límite a un terreno. Acortar, ceñir.
LÍMITE| límite. m. Línea divisoria, término, lindero.  Fin, término. limítrofe. Confinante, vecino..
LIMO| limo. m. Lodo.
LIMÓN| limón. m. Fruto del limonero, amarillo, de pulpa dividida en gajos, muy ácida. Limonero, árbol.
LIMOSNA| limosna. f. Dinero, alimento, etc.. dado a los pobres por caridad. 
LIMPIAR| limpiar. tr. Quitar la suciedad. Quitar a los árboles las ramas inútiles.  fig. y fam. Hurtar. límpido  límpido, da. adj.  Limpio, puro, terso, sin mancha.
LINAJE| linaje. m. Ascendencia o descendencia de una familia.
LINCE| lince. m. Mamífero carnívoro, muy parecido al gato, pero mayor, con orejas puntiagudas terminadas en un pincel de pelos negros. Vive en el centro y norte de Europa y es muy buscado por su hermosa piel.  Persona sagaz.
LINCHAR| linchar. tr. Castigar, generalmente con la muerte. sin proceso y tumultuariamente a un sospechoso.
LINDAR| lindar. intr. Estar contiguos dos territorios, terrenos o fincas. lindo  lindo, da. adj. Hermoso, bello, grato a la vista.
LÍNEA| línea. f. Raya.  Línea de palabras, renglón.  Extensión considerada en una sola de sus tres dimensiones: la longitud. Clase, género o especie telefónica o telegráfica, conjunto de los aparatos e hilos conductores del teléfono o del telégrafo.  férrea, la del ferrocarril.
LINEAL| lineal. adj. Perteneciente a la línea.  Dibujo que se representa por medio de líneas solamente.
LINGOTE| lingote. m. Trozo o barra de metal en bruto.
LINGUAL| lingual. adj. Perteneciente a la lengua  Dícese de las consonantes pronunciadas con la punta de la lengua.
LINÓLEO| linóleo. m. Tela fuerte e impermeable formada por un tejido de yute cubierta de corcho en polvo amasado con aceite de linaza.
LINO| lino. m. Planta herbiácea anual, de las lináceas, de tallo recto, como de un metro de altura. Se cultiva para extraer el aceite de sus semillas y las fibras de sus tallos, con las que se prepara la hilaza, empleada en la fabricación de las telas de hilo.
LINYERA| linyera. m. Arg. Vagabundo. f. Atado en que se guardan ropa y otros efectos personales.  Atado de ropas.
LÍO| lío. m. Porción de cosas atadas.  fam. Embrollo, enredo.
LIQUEN| liquen. m. Planta constituida por la asociación de un alga y un hongo, en la que no se distinguen tallos ni hojas, sino une especie de tiras  o costras grises, amarillentas o rojizas. Crece en sitios húmedos y en suelos helados y desérticos.
LÍQUIDO| líquido. m. Cuerpo fluido no gaseoso. fig. Libre, desprovisto de toda deuda.  adj. Dícese de la consonante que, precedida de otra y seguida de vocal, forma sílaba con ellas, como en plegar, prisa. En castellano la l y la r son las únicas letras de esta clase.
LIRA| lira. f. Instrumento musical de cuerdas, usado por los antiguos. Cierta combinación métrica de versos.  Inspiración de un poeta. astron. Pequeña constelación septentrional. Moneda italiana de plata. lírico  lírico, ca. adj. Relativo a la música. al canto. Dícese de la poesía que expresa un sentimiento íntimo o una emoción colectiva.  Aplícase al poeta que cultiva este género.  Propio de la poesía lírica, o apto para ella.
LIRIO| lirio. m. Planta herbácea, de las iridáceas, vivaz, hojas radicales, erguidas, tallo central ramoso, flores terminales, fruto capsular y rizoma rastrero y nudoso.  blanco, azucena. muguete.
LIRÓN| lirón. m. Mamífero roedor parecido al ratón, que se alimenta de los frutos de los árboles, en los que trepa y pasa todo el invierno adormecido. lisiado  lisiado, da. adj. Dícese de quien tiene alguna imperfección orgánica.  Tullido.
LIS| lis. f. Lirio. liso  liso, sa. adj. Igual, sin asperezas, sin adornos.  Perú. Insolente.
LISONJA| lisonja. f. Alabanza exagerada para ganar la voluntad de alguien.
LISTA| lista. f. Tira de tela, papel u otra cosa delgada.  Línea de color, especialmente en telas o tejidos. Enumeración de personas, cosas, cantidades, etc., escrita, por lo general, en forma de columna y hecha con un determinado propósito.  Catálogo. Pasar lista, llamar en voz alta, para que respondan personas cuyos nombres figuran en una nómina. listo  listo, ta. adj. Hábil, activo, pronto a obrar  Apercibido, dispuesto, preparado.  Prudente, astuto.
LISTÓN| listón. m. Cinta de seda.  Pedazo de tabla angosta.
LISURA| lisura. f. Igualdad y tersura de una superficie.  Guat. y Perú. Palabra y acción groseras.
LITERA| litera. f. Cada cama fija en los camarotes de los barcos y de los dormitorios de los trenes.  Vehículo antiguo con varas laterales que era transportado por hombres o caballos.
LITERAL| literal. adj. De acuerdo con la letra del texto, o con el sentido exacto y propio de las palabras usadas en él y no con el figurado. literario  literario, ria. adj. Perteneciente o relativo a la literatura.
LITORAL| litoral. adj. Perteneciente a la costa del mar m. Costa de un mar, país o territorio.
LITRO| litro. m. Unidad de capacidad del sistema métrico decimal. Equivale a un dm3.  Cantidad de líquido contenido en esa medida.
LIZA| liza. f. Terreno preparado para el combate.  Lid, combate, pelea.  Campo dispuesto para una competencia deportiva.
LLAGA| llaga. f. Úlcera, herida difícil de cerrar.
LLAGAR| llagar. tr. Hacer o causar llagas. llamador  llamador, ra. m. y f. Persona que llama.  m. Aldaba de las puertas.  Botón del timbre eléctrico.
LLAMA| llama. f. Masa gaseosa en combustión que se desprende de los cuerpos que arden.  Mamífero rumiante de América del Sur muy apreciado por su lana y como animal de carga.
LLAMEAR| llamear. intr. Echar llamas.
LLANEZA| llaneza. f. fig. Sencillez en el trato, familiaridad.  Simplicidad en el estilo. llano  llano, na. adj. Liso, igual, plano  fig. Sencillo, accesible, que no es orgulloso.  Aplicado a las palabras, grave, con el acento prosódico en la penúltima sílaba.  m. Campo llano.
LLANTA| llanta. f. Cerco metálico exterior de las ruedas de los coches. de goma, cerco que la recubre.
LLANTO| llanto. m. Efusión de lágrimas.
LLANURA| llanura. f. Calidad de llano. Campo llano.
LLAVE| llave. f. Instrumento metálico para abrir o cerrar. llavero  llavero,  m. m. Anillo de metal en que se llevan llaves.
LLEGAR| llegar. intr. Venir a un sitio de otro.  Durar hasta época determinada.  Tocar, alcanzar. Ascender. llenar  llenar tr. Poner lleno.  Ocupar dignamente un lugar o cargo.  Colmar abundantemente. Hartarse de comida o bebida. Irritarse por haber aguantado algo. llevadero  llevadero, ra. adj. Fácil de sufrir, tolerable.
LLEVAR| llevar. tr. Transportar de un lugar a otro.  Persuadir a alguien.  Guiar, dirigir. Con nombre de períodos, contar, pasar.
LLORO| lloro. m. Acción de llorar.  Llanto.
LLOVER| llover. intr. Caer agua de las nubes. Venir, caer con abundancia algo.
LLUVIA| lluvia. f. Agua que cae de las nubes en gotas.  Multitud de cosas. lluvioso  lluvioso, sa. adj. Dícese del tiempo o la región en que llueve mucho.
LOABLE| loable. adj. Digno de alabanza.
LOA| loa. f. Acción y efecto de loar.   Alabanza.  Poema dramático breve, en el que se celebra algún hecho notable o a alguna persona ilustre.
LOBA| loba. f. Hembra del lobo.
LOBEZNO| lobezno. m. Lobo pequeño, lobato.
LOBO| lobo. m. Mamífero carnívoro parecido a un perro grande, de pelaje gris oscuro, cola larga con mucho pelo y cabeza delgada. Vive en los bosques y grandes extensiones pobladas de arbustos silvestres de las regiones frías. Es muy voraz; ataca a los rebaños y a veces al hombre. de mar, fig. y fam. Marino anciano y experto en su oficio.  marino, foca. lóbrego  lóbrego, ga. adj. Oscuro, tenebroso. Triste, desgraciado.
LÓBULO| lóbulo. m. Parte redonda y saliente que sobresale de algo. Perilla de la oreja.  Porción redondeada y saliente de un órgano.
LOCAL| local. m. Sitio cerrado y cubierto.  adj. Perteneciente al lugar. locatario  locatario, ria. m. y f. Persona que toma en arriendo o alquiler. Arrendatario.
LOCIÓN| loción. f. Acción de lavar, lavadura. Producto para limpiar el cabello. loco  loco, ca. adj. Que ha perdido la razón.  De poco juicio, imprudente. Que sobrepasa en mucho lo esperado
LOCURA| locura. f. Pérdida del uso de la razón.  Demencia.  Acción realizada sin meditar ni reflexionar antes.  Exaltación excesiva del ánimo producida por el amor, el odio, la ira, etc. locutor  locutor, ra. m. y f. El que por oficio habla ante el micrófono, en estaciones de radiotelefonía.
LODAZAL| lodazal. m. Lugar lleno de todo.
LODO| lodo. m. Barro, especialmente el de lluvias.
-LOGÍA| -logía. Elemento que entra en la composición de voces con el significado de discurso, doctrina, ciencia, como en mitología.
LOGIA| logia. f. Local de reunión de los miembros de una asociación secreta llamada masonería. Asamblea de francmasones.
LÓGICA| lógica. f. Ciencia que enseña a razonar con exactitud.  Disposición natural para razonar con acierto lógico  lógico, ca. adj. De acuerdo con las reglas de la lógica.  Natural, que resulta de la naturaleza de las cosas
LOGRAR| lograr. tr. Conseguir, obtener lo que se desea.
LOMADA| lomada. f. Arg. Loma.
LOMA| loma. f. Altura de terreno pequeña y alargada.
LOMBRIZ| lombriz. f. Gusano de la clase de los anélidos, como la lombriz de tierra.  intestinal, nematelminto, parásito del intestino del hombre y de algunos animales.  solitaria, tenia.
LOMO| lomo. m. Parte inferior y central de la espalda en el hombre.  Espalda de los animales.  Parte del libro opuesta al corte.  Parte de un cuchillo opuesta al filo.
LONA| lona. f. Tela fuerte de algodón o cáñamo que sirve para hacer velas de navío, toldos, etc.
LONETA| loneta. f. Lona delgada.
LONJA| lonja. f. Tira larga, ancha y poco gruesa.  Arg. Trozo de cuero descarnado y sin pelo. Edificio público para tratos comerciales.
LORA| lora. f. Hembra del loro.
LORD| lord. m. Título de honor que se da en Inglaterra a los individuos de la  más alta nobleza  pl. Lores.
LORO| loro. m. Papagayo, ave de vistoso plumaje.
LOSA| losa. f. Piedra plana y poco gruesa. fig. Sepulcro.
LOTE| lote. m. Cada una de las partes en que se divide una cosa.  Parte' de un terreno.
LOTERÍA| lotería. f. Juego público de azar. Juego casero con números dispuestos de manera especial en cartones, que se llenan a medida que se sacan los números de un bolillero.
LOTO| loto. m. Planta acuática de las ninfeáceas, con flores blanco azuladas y olorosas, que abunda a orillas del Nilo.  Su flor. Su fruto.  Árbol de África, de las ramnáceas, de fruto rojizo, del tamaño de la ciruela.
LOZA| loza. f. Barro fino, cocido y barnizado. Conjunto de tazas, platos y otros objetos hechos con este material.
LOZANÍA| lozanía. f. Verdor y frondosidad de las plantas.  En los hombres y animales, vivacidad propia de los seres robustos y vigorosos.
LUCERO| lucero. m. El planeta Venus.  Cualquier astro muy grande y brillante.
LUCHA| lucha. f. Pelea cuerpo a cuerpo entre dos personas.  Lid, combate.  Contienda, disputa, conflicto.  Cierto deporte. lúcido  lúcido, da. adj. Luciente.  fig. Oue tiene inteligencia clara. lucido  lucido, da. p. p. de lucir.  adj. Que obra con acierto y esplendor.
LUCRO| lucro. m. Ganancia o provecho obtenido. luctuoso  luctuoso, sa. adj. Triste, digno de llanto.
LUEGO| luego. adv.  Prontamente, sin esperar   Después de este momento. Consecuencia de algo. lugareño  lugareño, ña. adj. Natural de un lugar o población pequeña.
LUGAR| lugar. m. Espacio ocupado o que puede ocupar un cuerpo cualquiera. Sitio, paraje.  Ciudad, pueblo.   Pasaje, texto Puesto.
LÚGUBRE| lúgubre. adj. Triste, funesto.
LUJO| lujo. m. Exceso en la pompa o el adorno. Suntuosidad excesiva. Profusión, abundancia
LUJURIA| lujuria. f. Apetito desordenado en los deleites. Exceso, demasía.
LULES| lules. m. pl. Tribu indígena que habitaba el norte de la Argentina.
LUMBAGO| lumbago. m. Dolor reumático en la región lumbar.
LUMBAR| lumbar. adj. Perteneciente a la parte inferior de la espalda y las caderas.
LUMBRE| lumbre. f. Cualquier combustible encendido. Luz de sustancias en combustión. fig. Esplendor, lucimiento.
LUNA| luna. f. Astro satélite de la Tierra, que gira a su alrededor y alumbra durante la noche reflejando la luz que recibe del Sol.  Espejo.  Cristal de anteojos.
LUNAR| lunar. adj. Perteneciente a la Luna. m. Mancha pequeña de la piel. lunático  lunático, ca. adj. y s. Loco, maniático, caprichoso.
LUNES| lunes. m. Segundo día de la semana.
LUPA| lupa. f. Lente de aumento, generalmente con mango.
LÚPULO| lúpulo. m. Planta trepadora cuyos frutos, desecados, dan aroma y sabor amargo a la cerveza.
LUSTRAR| lustrar. tr. Dar lustre a los objetos.  Purificar con agua los gentiles las cosas que creían impuras.
LUSTRE| lustre. m. Brillo de objetos bruñidos.  Esplendor, gloria.
LUSTRO| lustro. m. Períodos de cinco años.
LUTO| luto. m. Duelo causado por la muerte. Señal de este duelo en la ropa.
LUZ| luz. f. Agente físico que ilumina los objetos. Claridad irradiada por los cuerpos en combustión.  Artefacto luminoso.  Día, tiempo que dura la claridad del sol.  artificial, la producida por artefactos luminosos, por oposición a luz natural, que es la proveniente del sol o de otros astros. macabro  macabro, bra. adj. Propio de cementerios o de muertos.
MACADAM| macadam. m. Pavimento de piedra machacada y comprimida con rodillo.
